,buy_duration
111,0 days 00:05:46.000000000
112,0 days 00:03:11.000000000
113,0 days 00:18:32.000000000
114,0 days 00:01:13.000000000
115,0 days 00:03:20.000000000
116,0 days 00:04:35.000000000
117,0 days 06:02:51.000000000
118,0 days 06:10:35.000000000
119,0 days 00:10:29.000000000
120,0 days 01:04:09.000000000
121,0 days 00:17:25.000000000
122,0 days 00:08:28.000000000
123,0 days 00:10:41.000000000
124,0 days 00:07:53.000000000
125,0 days 00:03:48.000000000
126,0 days 04:41:30.000000000
127,0 days 00:16:25.000000000
128,0 days 17:38:31.000000000
129,0 days 07:51:59.000000000
130,0 days 00:47:45.000000000
131,0 days 00:10:21.000000000
132,0 days 00:00:00.000000000
133,0 days 00:01:13.000000000
134,0 days 02:53:04.000000000
135,0 days 02:24:59.000000000
136,0 days 01:41:00.000000000
137,0 days 00:21:34.000000000
138,0 days 00:30:54.000000000
139,0 days 13:04:04.000000000
140,0 days 07:00:04.000000000
141,0 days 05:10:49.000000000
142,0 days 00:57:54.000000000
143,0 days 08:35:10.000000000
144,0 days 09:43:45.000000000
145,0 days 08:27:50.000000000
146,0 days 00:43:31.000000000
147,0 days 00:11:12.000000000
148,0 days 00:01:43.000000000
149,0 days 00:41:33.000000000
150,0 days 00:07:14.000000000
151,0 days 00:03:03.000000000
152,0 days 00:00:00.000000000
153,0 days 00:07:01.000000000
154,0 days 11:47:32.000000000
155,0 days 00:06:41.000000000
156,0 days 00:14:09.000000000
157,0 days 00:23:00.000000000
158,0 days 00:14:46.000000000
159,0 days 00:44:38.000000000
160,0 days 04:38:33.000000000
161,0 days 00:00:00.000000000
162,0 days 00:45:16.000000000
163,0 days 00:31:20.000000000
164,0 days 13:11:54.000000000
165,0 days 00:44:22.000000000
166,0 days 00:14:38.000000000
167,0 days 19:57:30.000000000
168,0 days 00:59:54.000000000
170,0 days 00:04:33.000000000
171,0 days 00:53:06.000000000
172,0 days 02:05:07.000000000
173,0 days 00:05:56.000000000
174,0 days 00:07:48.000000000
175,0 days 00:02:20.000000000
176,0 days 00:08:44.000000000
177,0 days 05:52:04.000000000
178,0 days 00:01:49.000000000
179,0 days 00:04:36.000000000
180,0 days 00:41:12.000000000
181,0 days 00:18:51.000000000
182,0 days 00:05:07.000000000
183,0 days 14:30:35.000000000
184,0 days 04:23:21.000000000
185,0 days 06:57:21.000000000
186,0 days 09:39:08.000000000
187,0 days 00:28:43.000000000
188,0 days 00:16:10.000000000
189,0 days 01:06:43.000000000
190,0 days 00:00:44.000000000
191,0 days 00:13:43.000000000
192,0 days 00:07:32.000000000
193,0 days 01:32:01.000000000
194,0 days 10:00:40.000000000
195,0 days 09:21:37.000000000
196,0 days 00:06:16.000000000
197,0 days 00:16:58.000000000
198,0 days 00:11:47.000000000
199,0 days 09:06:14.000000000
200,0 days 12:33:01.000000000
201,0 days 06:34:43.000000000
202,0 days 00:33:06.000000000
203,0 days 13:35:33.000000000
204,0 days 00:25:25.000000000
205,0 days 01:57:08.000000000
206,0 days 12:41:42.000000000
207,0 days 00:17:41.000000000
208,0 days 02:39:33.000000000
209,0 days 00:50:59.000000000
210,0 days 00:10:06.000000000
211,0 days 01:18:08.000000000
212,0 days 00:04:52.000000000
213,0 days 00:18:50.000000000
214,0 days 00:08:07.000000000
215,0 days 15:18:01.000000000
216,0 days 17:00:12.000000000
217,0 days 00:05:19.000000000
218,0 days 00:34:05.000000000
219,0 days 00:22:53.000000000
220,0 days 19:20:09.000000000
221,1 days 07:24:48.000000000
222,0 days 09:48:52.000000000
223,0 days 19:29:33.000000000
224,0 days 20:45:16.000000000
225,0 days 00:03:08.000000000
226,0 days 23:06:22.000000000
227,0 days 00:12:44.000000000
228,0 days 00:05:54.000000000
229,0 days 18:53:01.000000000
230,0 days 22:55:33.000000000
231,1 days 08:46:43.000000000
232,0 days 13:06:31.000000000
233,0 days 00:04:50.000000000
234,0 days 17:24:36.000000000
235,1 days 00:18:26.000000000
236,0 days 13:26:46.000000000
237,0 days 00:10:25.000000000
238,0 days 00:19:20.000000000
239,0 days 10:45:35.000000000
240,0 days 01:13:45.000000000
241,0 days 01:15:23.000000000
242,1 days 03:23:44.000000000
243,1 days 01:25:57.000000000
244,0 days 00:00:00.000000000
245,0 days 00:21:29.000000000
246,0 days 00:02:02.000000000
247,0 days 19:13:20.000000000
248,0 days 00:08:56.000000000
249,0 days 00:01:48.000000000
250,0 days 01:11:29.000000000
251,0 days 01:05:51.000000000
252,0 days 00:04:08.000000000
253,0 days 00:41:56.000000000
254,0 days 00:28:15.000000000
255,0 days 19:43:18.000000000
256,0 days 00:17:17.000000000
257,0 days 00:02:35.000000000
258,0 days 18:03:48.000000000
259,0 days 00:25:31.000000000
260,0 days 14:27:34.000000000
261,0 days 15:58:35.000000000
262,0 days 00:09:32.000000000
263,0 days 00:42:15.000000000
264,0 days 01:09:24.000000000
265,0 days 00:08:30.000000000
266,0 days 17:42:42.000000000
267,0 days 16:49:08.000000000
268,0 days 18:47:56.000000000
269,0 days 00:06:32.000000000
270,0 days 00:04:18.000000000
271,0 days 00:12:34.000000000
272,0 days 00:12:51.000000000
273,0 days 23:10:33.000000000
274,0 days 01:26:31.000000000
275,0 days 00:08:27.000000000
276,0 days 00:05:47.000000000
277,0 days 00:18:03.000000000
278,0 days 01:22:23.000000000
279,0 days 00:03:45.000000000
280,0 days 16:59:14.000000000
281,0 days 00:11:12.000000000
282,0 days 00:30:14.000000000
283,0 days 00:30:52.000000000
284,0 days 15:41:18.000000000
285,0 days 15:34:34.000000000
286,0 days 23:25:44.000000000
287,1 days 01:31:59.000000000
288,0 days 00:03:21.000000000
289,0 days 00:40:47.000000000
290,1 days 13:59:58.000000000
291,0 days 01:10:11.000000000
292,0 days 00:04:27.000000000
293,0 days 10:43:45.000000000
294,1 days 05:47:11.000000000
295,0 days 02:11:58.000000000
296,0 days 00:15:19.000000000
297,0 days 00:09:16.000000000
298,0 days 00:56:52.000000000
299,0 days 01:01:55.000000000
300,1 days 01:13:37.000000000
301,1 days 00:08:31.000000000
302,0 days 01:53:38.000000000
303,0 days 22:24:56.000000000
304,0 days 00:16:55.000000000
305,0 days 02:39:03.000000000
306,0 days 15:15:35.000000000
307,0 days 00:19:08.000000000
308,0 days 22:08:08.000000000
309,0 days 17:40:55.000000000
310,0 days 21:19:17.000000000
311,0 days 00:11:21.000000000
312,0 days 00:27:59.000000000
313,0 days 00:47:04.000000000
314,0 days 00:04:50.000000000
315,1 days 06:06:47.000000000
316,0 days 16:49:52.000000000
317,0 days 00:13:19.000000000
318,0 days 00:18:24.000000000
319,1 days 01:10:55.000000000
320,0 days 00:02:55.000000000
321,0 days 05:50:42.000000000
322,0 days 00:15:12.000000000
323,0 days 00:01:27.000000000
324,0 days 06:27:06.000000000
325,1 days 01:57:23.000000000
326,0 days 00:34:23.000000000
327,0 days 02:00:51.000000000
328,0 days 00:02:56.000000000
329,0 days 00:07:39.000000000
330,0 days 00:01:14.000000000
331,0 days 00:08:48.000000000
332,0 days 00:19:20.000000000
333,0 days 00:04:23.000000000
334,0 days 21:33:39.000000000
335,1 days 00:47:12.000000000
336,0 days 19:46:47.000000000
337,0 days 00:46:16.000000000
338,0 days 00:01:51.000000000
339,0 days 00:01:50.000000000
340,0 days 20:01:15.000000000
341,1 days 06:13:04.000000000
342,0 days 17:06:29.000000000
343,0 days 01:38:23.000000000
344,0 days 00:03:16.000000000
345,0 days 00:06:46.000000000
346,0 days 00:09:01.000000000
347,0 days 00:08:12.000000000
348,0 days 01:07:22.000000000
349,0 days 00:07:56.000000000
350,0 days 00:09:12.000000000
351,0 days 00:05:14.000000000
352,0 days 00:21:19.000000000
353,0 days 08:28:18.000000000
354,0 days 00:03:07.000000000
355,0 days 09:17:35.000000000
356,0 days 00:10:28.000000000
357,1 days 09:55:28.000000000
358,0 days 04:11:09.000000000
359,0 days 00:09:14.000000000
360,0 days 04:26:49.000000000
361,0 days 01:37:17.000000000
362,0 days 09:21:26.000000000
363,0 days 20:19:36.000000000
364,1 days 10:56:39.000000000
365,0 days 01:09:38.000000000
366,0 days 17:04:12.000000000
367,0 days 02:41:47.000000000
368,1 days 09:59:11.000000000
369,0 days 00:20:43.000000000
370,1 days 20:01:28.000000000
371,0 days 22:29:38.000000000
372,0 days 00:06:53.000000000
373,1 days 12:25:24.000000000
374,0 days 04:58:03.000000000
375,0 days 01:30:38.000000000
376,0 days 00:05:00.000000000
377,0 days 21:13:55.000000000
378,0 days 01:36:31.000000000
379,0 days 00:19:11.000000000
380,0 days 00:08:01.000000000
381,0 days 00:21:43.000000000
382,0 days 00:19:40.000000000
383,0 days 00:21:57.000000000
384,0 days 12:30:38.000000000
385,0 days 00:40:51.000000000
386,0 days 00:07:01.000000000
387,0 days 00:07:28.000000000
388,0 days 11:56:23.000000000
389,0 days 00:57:53.000000000
390,0 days 00:18:11.000000000
391,0 days 00:07:05.000000000
392,0 days 00:00:00.000000000
393,0 days 00:37:42.000000000
394,1 days 02:33:55.000000000
395,0 days 00:01:28.000000000
396,0 days 00:10:23.000000000
397,0 days 00:10:37.000000000
398,1 days 00:57:05.000000000
399,0 days 00:04:55.000000000
400,0 days 00:08:22.000000000
401,0 days 00:12:30.000000000
402,0 days 00:18:02.000000000
403,0 days 00:07:03.000000000
404,0 days 00:20:07.000000000
405,0 days 01:15:53.000000000
406,0 days 01:28:25.000000000
407,0 days 11:01:19.000000000
408,0 days 00:08:29.000000000
409,0 days 00:22:27.000000000
410,1 days 13:42:15.000000000
411,0 days 01:24:42.000000000
412,0 days 00:03:16.000000000
413,0 days 00:31:42.000000000
414,0 days 00:38:10.000000000
415,0 days 00:33:27.000000000
416,0 days 00:03:56.000000000
417,0 days 00:58:25.000000000
418,0 days 00:04:32.000000000
419,0 days 00:41:54.000000000
420,0 days 20:24:08.000000000
421,0 days 12:13:09.000000000
422,0 days 00:11:43.000000000
423,1 days 23:47:44.000000000
424,0 days 00:04:49.000000000
425,0 days 00:01:08.000000000
426,0 days 00:59:18.000000000
427,0 days 12:19:36.000000000
428,0 days 00:00:54.000000000
429,0 days 00:10:12.000000000
430,1 days 19:45:31.000000000
431,0 days 12:56:16.000000000
432,0 days 00:41:13.000000000
433,1 days 12:27:45.000000000
434,2 days 08:59:02.000000000
435,0 days 00:02:31.000000000
436,0 days 00:01:57.000000000
437,0 days 00:03:46.000000000
438,0 days 00:43:15.000000000
439,0 days 00:34:25.000000000
440,0 days 01:02:22.000000000
441,0 days 14:42:03.000000000
442,0 days 00:03:52.000000000
443,0 days 01:08:33.000000000
444,0 days 12:55:11.000000000
445,0 days 14:33:19.000000000
446,0 days 00:23:24.000000000
447,0 days 04:16:08.000000000
448,0 days 18:39:56.000000000
449,0 days 18:47:57.000000000
450,0 days 15:38:13.000000000
451,1 days 03:12:11.000000000
452,0 days 01:27:11.000000000
453,0 days 00:12:24.000000000
454,0 days 00:20:17.000000000
455,0 days 00:00:00.000000000
456,0 days 00:22:20.000000000
457,1 days 00:11:25.000000000
458,0 days 21:48:23.000000000
459,0 days 20:03:27.000000000
460,0 days 00:05:19.000000000
461,1 days 23:10:54.000000000
462,0 days 04:31:48.000000000
463,0 days 00:05:17.000000000
464,0 days 00:09:55.000000000
465,0 days 16:06:29.000000000
466,0 days 00:31:11.000000000
467,1 days 04:31:45.000000000
468,0 days 23:33:39.000000000
469,1 days 04:39:43.000000000
470,1 days 19:06:51.000000000
471,0 days 00:01:05.000000000
472,0 days 00:09:15.000000000
473,0 days 00:13:15.000000000
474,0 days 16:05:15.000000000
475,0 days 00:09:32.000000000
476,0 days 16:50:36.000000000
477,0 days 00:19:57.000000000
478,0 days 01:35:21.000000000
479,0 days 07:10:23.000000000
480,0 days 18:52:58.000000000
481,1 days 03:54:59.000000000
482,2 days 01:03:21.000000000
483,0 days 00:09:42.000000000
484,0 days 20:41:33.000000000
485,1 days 00:32:34.000000000
486,1 days 04:46:57.000000000
487,0 days 00:46:53.000000000
488,0 days 00:32:22.000000000
489,2 days 06:23:04.000000000
490,2 days 15:39:47.000000000
491,0 days 16:00:26.000000000
492,0 days 21:42:37.000000000
493,2 days 15:25:16.000000000
494,0 days 00:22:01.000000000
495,0 days 12:56:30.000000000
496,0 days 00:29:30.000000000
497,0 days 00:32:52.000000000
498,0 days 00:05:07.000000000
499,0 days 00:21:13.000000000
500,1 days 16:44:10.000000000
501,1 days 22:02:56.000000000
502,0 days 02:45:02.000000000
503,1 days 01:31:29.000000000
504,0 days 00:57:39.000000000
505,0 days 00:06:11.000000000
506,0 days 23:41:08.000000000
507,0 days 00:11:18.000000000
508,0 days 00:13:49.000000000
509,0 days 00:04:10.000000000
510,0 days 00:01:12.000000000
511,0 days 21:07:32.000000000
512,0 days 22:36:59.000000000
513,0 days 00:07:30.000000000
514,0 days 00:01:31.000000000
515,2 days 01:17:48.000000000
516,0 days 00:04:08.000000000
517,0 days 00:07:48.000000000
518,2 days 09:52:57.000000000
519,0 days 00:18:18.000000000
520,1 days 06:52:02.000000000
521,0 days 00:31:14.000000000
522,0 days 00:33:00.000000000
523,0 days 00:32:56.000000000
524,0 days 00:08:10.000000000
525,0 days 00:15:35.000000000
526,0 days 23:53:42.000000000
527,0 days 07:12:09.000000000
528,0 days 22:25:50.000000000
529,2 days 10:37:49.000000000
530,0 days 22:44:33.000000000
531,0 days 00:09:31.000000000
532,2 days 06:33:17.000000000
533,0 days 06:04:32.000000000
534,0 days 03:04:34.000000000
535,0 days 13:24:30.000000000
536,2 days 06:15:57.000000000
537,0 days 00:23:48.000000000
538,0 days 00:52:15.000000000
539,0 days 10:48:31.000000000
540,0 days 00:11:44.000000000
541,0 days 23:40:14.000000000
542,1 days 03:37:13.000000000
543,0 days 04:56:38.000000000
544,1 days 08:37:19.000000000
545,0 days 00:40:25.000000000
546,0 days 00:23:54.000000000
547,0 days 05:39:15.000000000
548,0 days 00:30:36.000000000
549,1 days 22:57:59.000000000
550,2 days 08:28:51.000000000
551,0 days 00:19:35.000000000
552,0 days 00:16:51.000000000
553,0 days 15:13:31.000000000
554,0 days 00:08:22.000000000
555,0 days 00:03:56.000000000
556,2 days 08:43:09.000000000
557,1 days 03:42:24.000000000
558,0 days 05:06:54.000000000
559,0 days 02:27:31.000000000
560,0 days 00:34:14.000000000
561,0 days 09:45:11.000000000
562,0 days 00:46:51.000000000
563,0 days 21:00:04.000000000
564,0 days 01:54:12.000000000
565,0 days 00:15:03.000000000
566,0 days 04:11:22.000000000
567,1 days 00:57:54.000000000
568,0 days 01:43:48.000000000
569,0 days 01:19:15.000000000
570,0 days 00:19:35.000000000
571,0 days 03:44:27.000000000
572,0 days 00:15:59.000000000
573,0 days 01:18:04.000000000
574,0 days 00:01:29.000000000
575,0 days 05:34:39.000000000
576,0 days 00:35:33.000000000
577,0 days 01:34:22.000000000
578,0 days 06:42:37.000000000
579,0 days 00:12:37.000000000
580,0 days 02:24:17.000000000
581,0 days 00:19:22.000000000
582,0 days 00:10:19.000000000
583,0 days 00:11:20.000000000
584,0 days 09:24:34.000000000
585,1 days 05:30:18.000000000
586,0 days 00:11:13.000000000
587,0 days 00:58:05.000000000
588,2 days 13:31:35.000000000
589,0 days 00:00:36.000000000
590,0 days 05:55:08.000000000
591,0 days 01:19:05.000000000
592,0 days 00:06:00.000000000
593,0 days 00:09:07.000000000
594,1 days 01:29:22.000000000
595,0 days 11:04:58.000000000
596,0 days 00:02:45.000000000
597,2 days 19:55:51.000000000
598,0 days 00:44:20.000000000
599,0 days 18:13:59.000000000
600,0 days 14:29:42.000000000
601,0 days 00:40:50.000000000
602,0 days 00:23:48.000000000
603,1 days 14:12:17.000000000
604,2 days 23:22:46.000000000
605,3 days 01:09:05.000000000
606,0 days 16:13:27.000000000
607,2 days 06:26:47.000000000
608,0 days 00:06:54.000000000
609,2 days 19:12:46.000000000
610,2 days 02:36:58.000000000
611,0 days 21:06:31.000000000
612,3 days 01:31:37.000000000
613,0 days 20:58:07.000000000
614,2 days 11:11:23.000000000
615,0 days 11:07:01.000000000
616,0 days 11:42:18.000000000
617,0 days 00:29:09.000000000
618,0 days 10:56:10.000000000
619,0 days 00:10:06.000000000
620,0 days 00:18:44.000000000
621,0 days 22:50:17.000000000
622,3 days 06:48:42.000000000
623,0 days 00:28:24.000000000
624,0 days 00:13:15.000000000
625,0 days 00:20:10.000000000
626,0 days 12:44:23.000000000
627,0 days 00:18:41.000000000
628,3 days 09:36:54.000000000
629,0 days 00:35:35.000000000
630,0 days 00:07:15.000000000
631,0 days 00:07:08.000000000
632,0 days 01:09:00.000000000
633,2 days 20:40:25.000000000
634,1 days 00:31:58.000000000
635,0 days 00:49:40.000000000
636,0 days 00:12:29.000000000
637,0 days 16:59:43.000000000
638,0 days 00:03:46.000000000
639,3 days 00:44:06.000000000
640,0 days 00:05:58.000000000
641,3 days 00:35:14.000000000
642,0 days 00:14:52.000000000
643,0 days 01:48:59.000000000
644,0 days 00:05:32.000000000
645,0 days 23:30:22.000000000
646,0 days 20:16:58.000000000
647,0 days 17:10:45.000000000
648,0 days 00:06:23.000000000
649,0 days 01:48:09.000000000
650,0 days 00:00:07.000000000
651,0 days 22:23:12.000000000
652,0 days 00:03:46.000000000
653,1 days 20:01:21.000000000
654,0 days 00:31:38.000000000
655,0 days 00:00:51.000000000
656,0 days 00:24:18.000000000
657,0 days 01:30:29.000000000
658,0 days 00:17:05.000000000
659,0 days 00:16:06.000000000
660,0 days 00:59:20.000000000
661,2 days 05:06:40.000000000
662,2 days 20:05:54.000000000
663,2 days 22:33:04.000000000
664,0 days 07:33:07.000000000
665,0 days 23:23:41.000000000
666,0 days 00:11:28.000000000
667,1 days 15:12:22.000000000
668,0 days 15:22:29.000000000
669,0 days 04:31:37.000000000
670,0 days 00:58:59.000000000
671,0 days 02:18:02.000000000
672,0 days 00:08:59.000000000
673,0 days 00:03:00.000000000
674,0 days 22:07:59.000000000
675,0 days 23:19:47.000000000
676,0 days 00:07:44.000000000
677,0 days 17:29:00.000000000
678,1 days 19:33:59.000000000
679,0 days 00:56:26.000000000
680,0 days 00:15:49.000000000
681,0 days 00:11:23.000000000
682,0 days 00:08:49.000000000
683,0 days 20:23:20.000000000
684,1 days 18:28:59.000000000
685,0 days 00:06:32.000000000
686,0 days 00:41:11.000000000
687,0 days 00:17:13.000000000
688,1 days 22:02:20.000000000
689,0 days 00:14:34.000000000
690,1 days 19:00:45.000000000
691,0 days 23:21:11.000000000
692,2 days 09:16:16.000000000
693,0 days 00:02:48.000000000
694,0 days 05:57:15.000000000
695,0 days 03:51:47.000000000
696,0 days 00:03:26.000000000
697,0 days 00:02:56.000000000
698,2 days 01:59:49.000000000
699,1 days 23:51:11.000000000
700,2 days 02:40:21.000000000
701,0 days 00:17:49.000000000
702,0 days 00:13:57.000000000
703,1 days 09:52:09.000000000
704,0 days 00:06:03.000000000
705,0 days 00:02:26.000000000
706,3 days 08:36:19.000000000
707,0 days 00:08:16.000000000
708,0 days 00:09:36.000000000
709,1 days 05:58:02.000000000
710,2 days 22:15:46.000000000
711,0 days 00:09:32.000000000
712,1 days 06:41:32.000000000
713,0 days 00:01:59.000000000
714,0 days 21:48:12.000000000
715,0 days 00:19:21.000000000
716,0 days 00:30:56.000000000
717,3 days 09:28:56.000000000
718,0 days 02:28:14.000000000
719,1 days 01:57:06.000000000
720,0 days 00:44:18.000000000
721,1 days 16:00:38.000000000
722,0 days 00:05:50.000000000
723,0 days 00:19:13.000000000
724,1 days 09:14:11.000000000
725,0 days 00:18:26.000000000
726,1 days 08:36:01.000000000
727,0 days 00:42:26.000000000
728,0 days 00:16:57.000000000
729,0 days 04:09:32.000000000
730,0 days 00:07:45.000000000
731,0 days 00:01:24.000000000
732,0 days 00:18:11.000000000
733,0 days 02:48:59.000000000
734,3 days 00:14:40.000000000
735,0 days 00:00:52.000000000
736,0 days 04:53:28.000000000
737,2 days 05:13:05.000000000
738,0 days 01:24:48.000000000
739,0 days 12:23:12.000000000
740,0 days 00:06:41.000000000
741,0 days 00:18:12.000000000
742,0 days 00:29:27.000000000
743,1 days 05:08:13.000000000
744,0 days 00:32:27.000000000
745,2 days 16:15:27.000000000
746,0 days 00:07:45.000000000
747,0 days 00:07:53.000000000
748,3 days 13:54:35.000000000
749,0 days 00:01:13.000000000
750,1 days 03:27:33.000000000
751,0 days 02:33:23.000000000
752,3 days 12:56:00.000000000
753,1 days 02:21:37.000000000
754,3 days 23:29:56.000000000
755,0 days 00:02:55.000000000
756,2 days 08:01:55.000000000
757,0 days 00:00:30.000000000
758,1 days 21:37:06.000000000
759,0 days 09:37:53.000000000
760,0 days 20:06:16.000000000
761,0 days 00:35:11.000000000
762,4 days 00:09:51.000000000
763,0 days 16:41:42.000000000
764,2 days 22:21:09.000000000
765,0 days 20:54:21.000000000
766,0 days 00:44:44.000000000
767,0 days 00:02:28.000000000
768,0 days 00:01:16.000000000
769,0 days 00:43:58.000000000
770,2 days 00:32:19.000000000
771,0 days 00:45:04.000000000
772,0 days 00:36:04.000000000
773,0 days 00:27:19.000000000
774,3 days 18:19:14.000000000
775,2 days 20:31:51.000000000
776,0 days 13:25:11.000000000
777,4 days 00:52:47.000000000
778,0 days 00:29:38.000000000
779,0 days 12:57:52.000000000
780,1 days 14:03:56.000000000
781,0 days 13:39:52.000000000
782,1 days 02:23:53.000000000
783,0 days 00:02:06.000000000
784,1 days 12:24:10.000000000
785,4 days 00:44:49.000000000
786,0 days 00:05:56.000000000
787,0 days 00:08:43.000000000
788,3 days 16:46:07.000000000
789,1 days 14:16:13.000000000
790,0 days 20:23:31.000000000
791,2 days 12:55:50.000000000
792,0 days 00:08:48.000000000
793,0 days 00:21:58.000000000
794,0 days 13:42:14.000000000
795,0 days 00:21:21.000000000
796,0 days 23:24:13.000000000
797,0 days 00:11:08.000000000
798,0 days 00:00:00.000000000
799,1 days 17:36:16.000000000
800,0 days 00:05:39.000000000
801,0 days 01:17:56.000000000
802,4 days 02:39:31.000000000
803,0 days 13:54:48.000000000
804,0 days 03:58:47.000000000
805,1 days 15:02:09.000000000
806,0 days 01:59:23.000000000
807,0 days 00:02:52.000000000
808,0 days 18:15:15.000000000
809,0 days 00:17:08.000000000
810,4 days 12:45:32.000000000
811,0 days 00:23:28.000000000
812,0 days 00:38:40.000000000
813,1 days 02:31:51.000000000
814,0 days 00:02:24.000000000
815,0 days 00:01:45.000000000
816,0 days 04:22:42.000000000
817,1 days 00:34:21.000000000
818,0 days 00:01:13.000000000
819,1 days 01:14:06.000000000
820,0 days 00:39:46.000000000
821,3 days 13:42:30.000000000
822,0 days 01:43:56.000000000
824,3 days 16:12:03.000000000
825,0 days 00:09:30.000000000
826,0 days 00:22:29.000000000
827,0 days 00:54:20.000000000
828,0 days 00:05:48.000000000
829,0 days 01:01:08.000000000
830,1 days 21:40:01.000000000
831,2 days 03:26:22.000000000
832,0 days 06:45:14.000000000
833,0 days 00:00:26.000000000
834,0 days 00:08:11.000000000
835,0 days 16:00:34.000000000
836,0 days 04:57:24.000000000
837,0 days 00:05:09.000000000
838,3 days 18:07:18.000000000
839,1 days 14:37:07.000000000
840,0 days 00:09:58.000000000
841,0 days 00:07:26.000000000
842,3 days 17:42:09.000000000
843,3 days 02:50:54.000000000
844,0 days 21:15:06.000000000
845,2 days 20:21:50.000000000
846,0 days 05:42:28.000000000
847,0 days 03:54:36.000000000
848,3 days 03:41:12.000000000
849,0 days 04:39:02.000000000
850,0 days 00:19:20.000000000
851,0 days 03:19:41.000000000
852,0 days 02:46:29.000000000
853,3 days 00:06:37.000000000
854,3 days 06:25:12.000000000
855,0 days 00:42:09.000000000
856,3 days 06:41:55.000000000
857,0 days 03:40:29.000000000
858,0 days 00:00:15.000000000
859,0 days 00:18:52.000000000
860,0 days 02:01:05.000000000
861,4 days 01:35:14.000000000
862,1 days 03:21:37.000000000
863,0 days 07:19:16.000000000
864,0 days 20:09:07.000000000
865,0 days 00:01:06.000000000
866,0 days 07:36:26.000000000
867,0 days 03:47:57.000000000
868,0 days 00:01:28.000000000
869,1 days 02:36:57.000000000
870,0 days 00:16:52.000000000
871,1 days 02:41:29.000000000
872,1 days 04:28:42.000000000
873,4 days 08:42:43.000000000
874,3 days 21:33:20.000000000
875,0 days 00:03:26.000000000
